127.0.0.1, 2018-02-16 16:12:07, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.129761
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.158777
127.0.0.1, 2018-02-16 16:12:07, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.237998
127.0.0.1, 2018-02-16 16:12:08, GET, /IMEI/appadmin/hooks, HTTP/1.1, 200, 0.463038
127.0.0.1, 2018-02-16 16:12:08, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.946121
127.0.0.1, 2018-02-16 16:13:07, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.008580
127.0.0.1, 2018-02-16 16:13:09, GET, /IMEI/appadmin/hooks, HTTP/1.1, 200, 1.071661
127.0.0.1, 2018-02-16 16:13:50, GET, /IMEI, HTTP/1.1, 200, 0.219903
127.0.0.1, 2018-02-16 16:14:06, GET, /IMEI/groundcontrol/uday, HTTP/1.1, 200, 0.124450
127.0.0.1, 2018-02-16 16:14:07, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.032122
127.0.0.1, 2018-02-16 16:14:09, GET, /IMEI/appadmin/hooks, HTTP/1.1, 200, 1.046377
127.0.0.1, 2018-02-16 16:15:08, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.022145
127.0.0.1, 2018-02-16 16:15:10, GET, /IMEI/appadmin/hooks, HTTP/1.1, 200, 0.965446
127.0.0.1, 2018-02-16 16:16:08, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.026350
127.0.0.1, 2018-02-16 16:16:10, GET, /IMEI/appadmin/hooks, HTTP/1.1, 200, 1.005202
127.0.0.1, 2018-02-16 16:17:08, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.009964
127.0.0.1, 2018-02-16 16:17:11, GET, /IMEI/appadmin/hooks, HTTP/1.1, 200, 0.967707
127.0.0.1, 2018-02-16 16:18:08, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.010145
127.0.0.1, 2018-02-16 16:18:11, GET, /IMEI/appadmin/hooks, HTTP/1.1, 200, 1.059145
127.0.0.1, 2018-02-16 16:19:08, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.079408
127.0.0.1, 2018-02-16 16:19:11, GET, /IMEI/appadmin/hooks, HTTP/1.1, 200, 0.965765
127.0.0.1, 2018-02-16 16:20:08, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.060356
127.0.0.1, 2018-02-16 16:20:11, GET, /IMEI/appadmin/hooks, HTTP/1.1, 200, 0.970551
127.0.0.1, 2018-02-16 16:21:08, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.081927
127.0.0.1, 2018-02-16 16:21:11, GET, /IMEI/appadmin/hooks, HTTP/1.1, 200, 1.047759
127.0.0.1, 2018-02-16 16:22:08, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.026450
127.0.0.1, 2018-02-16 16:22:11, GET, /IMEI/appadmin/hooks, HTTP/1.1, 200, 1.110704
127.0.0.1, 2018-02-16 16:23:08, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.008792
127.0.0.1, 2018-02-16 16:23:11, GET, /IMEI/appadmin/hooks, HTTP/1.1, 200, 0.950631
127.0.0.1, 2018-02-16 16:24:08, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.066126
127.0.0.1, 2018-02-16 16:24:12, GET, /IMEI/appadmin/hooks, HTTP/1.1, 200, 1.162577
